x,y
0,4.459459459
0.35,4.477477203
0.7,4.49549577
1.05,4.513513514
1.4,4.513513514
1.75,4.513513514
2.1,4.49549577
2.45,4.477477203
2.8,4.49549577
3.15,4.49549577
3.5,4.513513514
3.85,4.513513514
4.2,4.621621622
4.55,4.621621622
4.9,4.675675676
5.25,4.621621622
5.6,4.621621622
5.95,4.531531257
6.3,4.531531257
6.65,4.477477203
7,4.297297297
7.35,4.333333608
7.7,4.333333608
8.05,4.387387662
8.4,4.279279554
8.75,4.171171446
9.1,4.477477203
9.45,4.693693419
9.8,4.981982257
10.15,5.234233959
10.5,5.50450423
10.85,5.720720446
11.2,5.720720446
11.55,5.882882608
11.9,6.099098824
12.25,6.369369507
12.6,6.585585723
12.95,6.783783784
13.3,7.162162162
13.65,6.981982257
14,7.378378378
14.35,7.234234372
14.7,7.234234372
15.05,6.981982257
15.4,6.747747885
15.75,6.567567568
16.1,6.333333608
16.45,6.081081081
16.8,5.846847122
17.15,5.576576852
17.5,5.396396121
17.85,5.180179905
18.2,5.018017743
18.55,5.018017743
18.9,4.873874149
19.25,4.891891892
19.6,4.837837838
19.95,4.855855581
20.3,4.837837838
20.65,4.837837838
21,4.837837838
21.35,4.837837838
21.7,4.837837838
22.05,4.837837838
22.4,4.837837838
22.75,4.855855581
23.1,4.855855581
23.45,4.801801527
23.8,4.819820095
24.15,4.819820095
